,dayofweek,mintemp,maxtemp,rain
286,1,33.1,46.9,0.0
248,4,46.4,57.9,0.11
216,1,73.0,91.9,0.0
191,5,66.9,86.0,0.0
84,4,64.0,73.0,0.06
42,5,45.0,64.0,0.0
82,7,52.0,78.1,0.5
82,2,50.0,66.9,0.32
322,4,14.0,26.1,0.0
221,1,50.0,81.0,0.0
86,5,55.0,75.0,0.0
27,1,41.0,50.0,0.0
311,4,35.6,55.4,0.3
54,7,57.0,75.0,0.0
120,6,68.0,82.9,0.31
109,1,68.0,79.0,0.22
80,4,48.9,69.1,0.0
126,5,68.0,82.9,0.0
54,6,45.0,59.0,0.21
36,6,41.0,55.9,0.02
124,7,66.0,84.9,0.0
205,3,62.1,84.9,0.05
74,3,66.0,82.9,0.0
354,7,27.0,55.0,0.22
11,7,30.0,37.9,0.0
355,7,17.1,33.1,0.06
86,3,52.0,73.0,0.0
148,4,70.0,91.0,0.0
193,7,62.1,75.9,0.0
57,4,51.1,73.0,0.0
314,1,39.9,62.1,0.0
60,1,43.0,64.9,0.0
310,2,33.1,54.0,0.0
328,5,21.9,34.0,0.44
48,6,51.1,60.1,0.01
290,2,36.0,51.1,0.0
41,1,37.0,62.1,0.52
9,3,55.0,62.6,0.0
183,6,70.0,87.1,0.0
272,1,35.1,61.0,0.24
190,3,66.9,82.0,0.0
158,1,71.1,89.1,0.0
113,3,64.0,77.0,0.0
22,3,25.0,45.0,0.45
55,6,57.0,75.0,0.0
209,5,62.1,81.0,0.4
0,7,34.0,45.0,0.0
83,6,60.1,78.1,0.0
346,1,25.0,39.0,0.15
80,2,53.1,75.9,0.0
324,3,26.1,39.0,0.04
104,5,59.0,75.0,0.0
13,1,26.1,61.0,0.56
360,4,12.9,43.0,0.0
103,6,55.0,75.0,0.0
172,3,69.1,84.0,0.0
48,1,39.9,64.0,0.0
100,5,70.0,86.0,0.0
293,1,41.0,64.0,0.0
170,2,71.1,84.9,0.41
325,4,27.0,39.9,0.01
126,4,71.1,89.1,0.0
41,5,21.9,46.0,0.0
66,4,41.0,55.0,0.0
130,3,66.9,84.0,0.0
284,3,37.0,55.0,0.07
295,3,37.0,64.9,0.0
